step,max_stretch_error,ground_penetrations,max_ground_pen,sphere_penetrations,max_sphere_pen,kinetic_energy,potential_energy,spring_energy,total_energy,has_nan_inf,step_time_ms,cumulative_time_ms
0,0,0,0,0,0,0,2452.5,0,2452.5,0,0,0
10,0,0,0,0,0,7.32207,2444.31,0,2451.63,0,0.010625,0.107166
20,0,0,0,0,0,28.5688,2421.48,0,2450.05,0,0.012166,0.227955
30,0,0,0,0,0,62.7083,2384.35,0,2447.06,0,0.011042,0.333122
40,0,0,0,0,0,108.766,2333.36,0,2442.13,0,0.011083,0.439289
50,0,0,0,0,0,165.825,2268.74,0,2434.57,0,0.012583,0.569414
60,0,0,0,0,0,233.021,2190.91,0,2423.93,0,0.012042,0.690747
70,0,0,0,0,0,309.542,2100.14,0,2409.68,0,0.012417,0.817331
80,0,0,0,0,0,394.613,1996.77,0,2391.38,0,0.012708,0.941332
90,0,0,0,0,0,487.522,1881.12,0,2368.64,0,0.012209,1.065
100,0,0,0,0,0,587.591,1753.52,0,2341.11,0,0.012208,1.18804
110,0,0,0,0,0,694.174,1614.2,0,2308.38,0,0.012042,1.31546
120,0,0,0,0,0,806.682,1463.48,0,2270.16,0,0.010458,1.43683
130,0,0,0,0,0,924.532,1301.66,0,2226.19,0,0.020834,1.56358
140,0,0,0,0,0,1047.21,1129,0,2176.21,0,0.01025,1.66854
150,0,0,0,0,0,1174.23,945.768,0,2120,0,0.010334,1.77366
160,0,0,0,0,0,1305.09,752.218,0,2057.31,0,0.010459,1.87862
170,0.375175,0,0,20,5.96046e-08,1354.3,555.218,11.7731,1921.29,0,0.010792,1.98608
180,0.731499,0,0,8,5.96046e-08,1425.9,356.02,69.5912,1851.51,0,0.010625,2.09458
190,1.24571,0,0,13,5.96046e-08,1467.15,154.34,160.929,1782.42,0,0.0105,2.204
200,1.93757,0,0,15,5.96046e-08,72.7122,48.9076,242.927,364.547,0,0.0125,2.32991
210,2.80345,0,0,2,5.96046e-08,31.5915,36.3024,288.304,356.198,0,0.013208,2.45921
220,3.57197,0,0,9,5.96046e-08,17.2038,35.1761,287.151,339.531,0,0.012833,2.58466
230,2.67174,0,0,6,5.96046e-08,41.0663,42.1057,250.897,334.069,0,0.012958,2.7137
240,1.66641,0,0,14,5.96046e-08,78.3384,55.9174,205.49,339.745,0,0.012666,2.84058
250,1.23848,0,0,16,5.96046e-08,90.9029,75.8319,172.377,339.112,0,0.013042,2.96891
260,0.937199,0,0,13,5.96046e-08,94.2313,98.9597,142.19,335.381,0,0.010833,3.08249
270,0.82007,0,0,6,5.96046e-08,87.4171,122.653,119.674,329.744,0,0.0125,3.20937
280,0.975384,0,0,7,5.96046e-08,70.8741,144.054,102.208,317.137,0,0.010833,3.31903
290,0.865122,0,0,8,5.96046e-08,47.6332,161.219,81.1255,289.978,0,0.010791,3.42799
300,0.939573,0,0,7,5.96046e-08,33.2957,173.353,71.772,278.421,0,0.010875,3.53666
310,0.913499,0,0,15,5.96046e-08,27.3116,180.014,67.3296,274.655,0,0.012584,3.66899
320,0.735263,0,0,10,5.96046e-08,26.7549,180.263,63.8782,270.896,0,0.013958,3.7827
330,0.82017,0,0,11,5.96046e-08,29.6959,175.816,62.1486,267.661,0,0.010792,3.90462
340,0.886773,0,0,7,5.96046e-08,36.5981,166.351,64.1779,267.127,0,0.010917,4.01375
350,0.875748,0,0,12,5.96046e-08,41.2608,151.901,71.3517,264.514,0,0.01075,4.12358
360,1.05099,0,0,20,5.96046e-08,46.6035,135.358,78.3175,260.279,0,0.011083,4.23291
370,0.882079,0,0,16,5.96046e-08,36.1058,119.969,84.6813,240.756,0,0.011334,4.35916
380,0.977154,0,0,7,5.96046e-08,23.5616,109.113,91.7794,224.454,0,0.011417,4.47471
